sat name,utc time,sun zenith [deg],sun azimuth [deg],sat zenith [deg],sat azimuth [deg],scattering angle [deg],sat ENU coordinates [km],lookat ENU coordinates [km]
sat_1,2021-12-06 10:20:00+00:00,51.20609237799123,107.86261386591153,38.362684068726395,-143.15583070665016,20.23095572733197,"[-307.28879733560103, -230.2510669296144, 485.1130638755036]","[0, 0, 0]"
sat_2,2021-12-06 10:20:00+00:00,51.20609237799123,107.86261386591153,30.46634564332317,-143.17050373428833,106.6034665530111,"[-230.5627408925135, -172.66816123792785, 489.67131463585366]","[0, 0, 0]"
sat_3,2021-12-06 10:20:00+00:00,51.20609237799123,107.86261386591153,21.289495560667735,-143.1847663339225,87.07138350004088,"[-153.76172158195237, -115.09223798992055, 492.8877430878336]","[0, 0, 0]"
sat_4,2021-12-06 10:20:00+00:00,51.20609237799123,107.86261386591153,10.985443254485059,-143.19861847932376,141.75723834125915,"[-76.90203773311411, -57.532966495039965, 494.76164986292684]","[0, 0, 0]"
sat_0,2021-12-06 10:20:00+00:00,51.20609237799123,107.86261386591153,0.0,-71.32932372446506,53.89297861591086,"[7.822965562809258e-08, -2.3150964989326894e-07, 495.29260159153296]","[0, 0, 0]"
sat_5,2021-12-06 10:20:00+00:00,51.20609237799123,107.86261386591153,10.991583941728237,36.774908157680535,71.72032140325591,"[76.92893413247685, 57.49766838109228, 494.4804139492938]","[0, 0, 0]"
sat_6,2021-12-06 10:20:00+00:00,51.20609237799123,107.86261386591153,21.311581512582105,36.76228765181002,131.51836954957773,"[153.86753729180256, 114.94974678446961, 492.32517254139924]","[0, 0, 0]"
sat_7,2021-12-06 10:20:00+00:00,51.20609237799123,107.86261386591153,30.509302888584617,36.7500780873009,51.2046532576011,"[230.79945925679021, 172.34662058353604, 488.82724318238206]","[0, 0, 0]"
sat_8,2021-12-06 10:20:00+00:00,51.20609237799123,107.86261386591153,38.426988635133014,36.73827979199334,77.77505301564842,"[307.7083456593354, 229.67869311796298, 483.987258069471]","[0, 0, 0]"
sat_9,2021-12-06 10:20:00+00:00,51.20609237799123,107.86261386591153,45.12082792109035,36.72689312490182,94.1371682464371,"[384.5778532894385, 286.9363957404745, 477.80611468850856]","[0, 0, 0]"
